,"1. Rankings for all countries, 2006 - 2021",,,,,,,,,,
"Dataset with option to select the year, and see the results for all countries for that year. Sort by HPI score, life expectancy, GDP per capita or any other variable in the data set. You can filter by continent. ",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
CHOOSE YEAR HERE: ,,2021,,,,,,,Good,,
USE THE FILTERS BELOW TO SORT BY HPI RANK OR COMPONENT,,,,,,,,,Average,,
,,,,,,,,,Poor,,
,,,,,,,,,,,
HPI rank,Country,ISO,,Continent,Population (thousands),Life Expectancy (years),Ladder of life (Wellbeing) (0-10),Carbon Footprint (tCO2e),HPI,CO2 threshold for year  (tCO2e),GDP per capita ($)
148.0,Burundi,BDI,2021BDI,5,12551.2,61.7,0.00,0.65,0.0,3.17,714
148.0,Sudan,SDN,2021SDN,5,45657.2,65.3,0.00,0.87,0.0,3.17,3701
1.0,Vanuatu,VUT,2021VUT,8,319.1,70.4,7.12,2.62,57.9,3.17,2800
2.0,Sweden,SWE,2021SWE,3,10467.1,83.0,7.44,8.70,55.9,3.17,53772
3.0,El Salvador,SLV,2021SLV,1,6314.2,70.7,6.43,2.03,54.7,3.17,9192
4.0,Costa Rica,CRI,2021CRI,1,5154.0,77.0,6.41,4.37,54.1,3.17,21190
5.0,Nicaragua,NIC,2021NIC,1,6850.5,73.8,6.10,2.61,53.6,3.17,5692
6.0,Denmark,DNK,2021DNK,3,5854.2,81.4,7.70,10.04,53.0,3.17,57963
7.0,Spain,ESP,2021ESP,3,47486.9,83.0,6.47,7.12,53.0,3.17,37933
8.0,Panama,PAN,2021PAN,1,4351.3,76.2,6.55,5.24,52.0,3.17,30417
9.0,France,FRA,2021FRA,3,64531.4,82.5,6.66,7.91,52.0,3.17,44993
10.0,Chile,CHL,2021CHL,1,19493.2,78.9,6.44,6.20,51.3,3.17,25413
11.0,Portugal,PRT,2021PRT,3,10290.1,81.0,6.18,6.36,51.0,3.17,33681
12.0,Moldova,MDA,2021MDA,7,3061.5,68.8,5.96,1.29,50.9,3.17,13602
13.0,Honduras,HND,2021HND,1,10278.3,70.1,6.11,2.19,50.8,3.17,5572
14.0,Netherlands,NLD,2021NLD,3,17501.7,81.7,7.31,10.11,50.7,3.17,56617
15.0,Norway,NOR,2021NOR,3,5403.0,83.2,7.36,11.02,50.5,3.17,65909
16.0,Guatemala,GTM,2021GTM,1,17608.5,69.2,6.30,2.47,50.4,3.17,8927
17.0,Finland,FIN,2021FIN,3,5536.0,82.0,7.79,12.19,49.8,3.17,48713
18.0,Italy,ITA,2021ITA,3,59240.3,82.9,6.47,8.49,49.6,3.17,42056
