Country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Burundi,0.0,0.0,20.4,22.7,23.0,23.3,,,18.9,,,,27.2,,,
Sudan,0.0,0.0,0.0,,,,,,,,,,,,,
Vanuatu,0.0,0.0,0.0,,,,,,,,,,,,,
Sweden,0.0,47.0,49.7,51.8,50.6,50.6,52.6,52.7,52.1,53.0,54.0,53.3,53.8,54.0,55.1,55.9
El Salvador,49.2,45.9,45.4,60.0,59.3,42.1,52.1,55.5,51.4,52.7,54.0,56.3,55.6,57.2,47.4,54.7
Costa Rica,64.4,65.7,60.4,68.8,64.7,63.8,63.9,63.4,63.5,61.1,63.8,64.1,63.4,61.7,56.9,54.1
Nicaragua,36.7,41.3,43.8,46.7,49.8,47.2,47.6,50.6,54.6,51.4,52.3,56.7,51.5,53.9,53.2,53.6
Denmark,0.0,42.1,43.8,44.2,44.9,45.9,46.4,47.0,47.6,48.5,48.6,49.3,49.0,51.4,52.7,53.0
Spain,0.0,45.6,49.1,45.3,45.8,48.6,48.3,49.0,51.2,50.2,50.7,49.2,51.1,52.2,53.2,53.0
Panama,50.7,56.5,56.6,57.3,59.3,58.7,55.7,55.8,54.0,53.9,50.2,53.6,51.3,49.7,51.7,52.0
France,44.7,45.8,47.5,44.2,47.7,48.6,48.3,48.9,48.7,47.9,49.1,49.7,50.1,50.8,52.7,52.0
Chile,51.5,47.7,47.7,55.5,54.9,53.0,52.2,53.4,55.0,52.6,53.2,51.6,52.0,48.9,50.4,51.3
Portugal,38.7,40.6,42.1,41.5,39.8,41.5,40.8,42.6,42.5,41.7,44.7,45.8,47.4,49.7,48.2,51.0
Moldova,48.2,45.1,51.5,51.7,51.6,52.6,52.8,49.9,52.0,53.1,49.9,48.2,50.8,52.1,51.6,50.9
Honduras,47.3,44.2,47.0,52.8,51.5,44.1,40.8,42.0,45.2,43.5,50.7,53.9,52.6,52.6,51.9,50.8
Netherlands,0.0,44.6,45.6,46.2,45.5,47.8,47.6,48.0,48.2,48.1,49.9,49.6,49.4,50.1,52.5,50.7
Norway,45.1,44.0,45.7,,,,47.7,47.8,47.7,48.9,48.9,49.3,48.9,49.8,51.5,50.5
Guatemala,50.8,54.6,55.9,56.5,55.1,50.4,51.5,52.7,57.5,56.7,56.0,55.6,57.6,54.6,53.9,50.4
Finland,36.7,36.7,38.7,41.4,38.4,40.2,41.5,42.7,43.0,44.4,45.2,46.7,45.8,47.7,50.7,49.8
Italy,0.0,42.6,44.1,43.8,43.4,41.9,42.1,44.8,45.6,44.1,45.4,46.6,48.6,48.9,50.1,49.6
United Kingdom,0.0,38.8,41.0,42.8,43.1,44.0,43.9,44.9,44.9,43.9,47.0,49.0,49.7,50.3,49.4,49.5
Romania,0.0,37.3,37.8,40.4,37.1,37.8,39.2,39.9,44.4,44.5,46.4,47.3,47.7,48.0,52.9,49.4
Philippines,42.2,45.7,41.3,43.9,44.3,44.6,44.5,43.9,46.9,48.8,47.7,48.8,51.0,54.3,45.1,49.0
Israel,43.2,41.4,43.0,45.8,44.7,44.8,42.1,45.4,46.6,44.8,46.2,47.6,45.3,47.3,46.9,48.6
Greece,0.0,42.7,41.0,38.1,38.9,37.7,36.7,36.0,36.8,42.7,41.1,39.4,42.2,46.8,46.8,48.3
Slovenia,36.4,0.0,0.0,,,,,,,,,,,,,
Croatia,0.0,39.9,38.9,39.6,41.6,39.4,46.0,45.8,42.8,40.9,42.7,41.5,43.1,43.8,50.8,48.0
Thailand,49.6,48.7,47.3,46.4,51.1,54.5,51.2,50.5,56.8,51.3,50.9,49.9,50.1,50.6,50.8,48.0
Tajikistan,39.0,37.7,43.4,39.4,37.3,36.5,38.5,42.6,41.8,44.0,44.1,50.5,48.2,48.4,44.7,47.8
Ireland,33.8,35.6,38.7,40.1,43.2,42.8,43.0,42.0,44.2,43.9,44.8,45.5,45.7,48.7,49.9,47.7
Algeria,0.0,0.0,0.0,,,,,,,,,,,,,
Dominican Republic,41.9,41.2,39.1,44.3,38.6,43.5,38.6,41.0,44.0,41.4,42.8,45.8,44.3,48.2,41.7,47.3
Peru,44.5,47.3,45.5,48.5,48.5,51.5,50.6,51.3,51.8,49.8,50.8,51.1,50.7,53.5,43.2,47.0
Czech Republic,0.0,40.5,0.0,,,,,,,,,,,,,
Albania,0.0,45.2,48.3,51.8,50.0,54.8,51.8,43.5,45.4,44.4,43.9,44.0,47.0,46.6,48.4,46.3
Brazil,0.0,50.4,52.7,55.6,53.2,54.3,51.5,54.9,53.6,51.1,50.4,50.2,50.0,52.2,48.9,46.2
Germany,0.0,38.0,38.6,40.7,40.5,40.1,41.5,42.9,43.9,44.1,43.5,44.8,45.5,46.8,50.1,45.7
Vietnam,49.2,49.8,49.6,47.5,47.0,50.9,49.0,44.0,44.3,43.9,44.1,45.1,45.4,45.4,47.3,45.5
Austria,40.3,41.4,41.9,43.9,43.4,44.1,44.7,45.9,43.6,44.1,44.2,45.1,46.3,44.8,46.9,45.3
Morocco,0.0,0.0,0.0,,,,,,,,,,,,,
Ecuador,44.0,43.3,46.4,51.7,49.5,49.2,50.7,51.0,50.4,51.2,52.8,51.0,52.9,51.0,42.9,44.7
Jamaica,43.8,0.0,0.0,,,,,,,,,,,,,
Argentina,46.4,44.0,43.3,47.4,47.9,50.0,47.7,48.0,48.8,48.6,46.9,44.8,43.9,46.7,44.9,43.8
New Zealand,39.3,40.9,40.3,42.1,41.9,41.4,41.5,42.1,42.3,43.3,43.0,43.0,43.6,42.0,44.8,43.4
Mexico,0.0,49.9,51.6,53.1,51.9,52.4,55.1,56.1,50.9,47.9,52.4,49.6,50.8,50.5,43.6,43.3
