"","HPI","ISO","year"
"1",0,"BDI",2006
"2",0,"SDN",2006
"3",0,"VUT",2006
"4",0,"SWE",2006
"5",49.2,"SLV",2006
"6",64.4,"CRI",2006
"7",36.7,"NIC",2006
"8",0,"DNK",2006
"9",0,"ESP",2006
"10",50.7,"PAN",2006
"11",44.7,"FRA",2006
"12",51.5,"CHL",2006
"13",38.7,"PRT",2006
"14",48.2,"MDA",2006
"15",47.3,"HND",2006
"16",0,"NLD",2006
"17",45.1,"NOR",2006
"18",50.8,"GTM",2006
"19",36.7,"FIN",2006
"20",0,"ITA",2006
"21",0,"GBR",2006
"22",0,"ROU",2006
"23",42.2,"PHL",2006
"24",43.2,"ISR",2006
"25",0,"GRC",2006
"26",36.4,"SVN",2006
"27",0,"HRV",2006
"28",49.6,"THA",2006
"29",39,"TJK",2006
"30",33.8,"IRL",2006
"31",0,"DZA",2006
"32",41.9,"DOM",2006
"33",44.5,"PER",2006
"34",0,"CZE",2006
"35",0,"ALB",2006
"36",0,"BRA",2006
"37",0,"DEU",2006
"38",49.2,"VNM",2006
"39",40.3,"AUT",2006
"40",0,"MAR",2006
"41",44,"ECU",2006
"42",43.8,"JAM",2006
"43",46.4,"ARG",2006
"44",39.3,"NZL",2006
"45",0,"MEX",2006
"46",33.2,"UZB",2006
"47",37.6,"ARM",2006
"48",0,"HUN",2006
"49",53,"COL",2006
"50",40.5,"CHE",2006
"51",0,"JPN",2006
"52",0,"BTN",2006
"53",38.1,"CHN",2006
"54",0,"MKD",2006
"55",34.7,"KGZ",2006
"56",38.5,"TWN",2006
"57",36.1,"LTU",2006
"58",32.5,"SVK",2006
"59",41.7,"LKA",2006
"60",0,"ISL",2006
"61",0,"POL",2006
"62",40.6,"IDN",2006
"63",0,"MUS",2006
"64",37.4,"URY",2006
"65",0,"BHR",2006
"66",0,"BIH",2006
"67",31,"SEN",2006
"68",0,"AUS",2006
"69",0,"MLT",2006
"70",38.3,"BGD",2006
"71",42.8,"MYS",2006
"72",29.6,"LVA",2006
"73",0,"LBY",2006
"74",0,"BEL",2006
"75",37.4,"BLR",2006
"76",0,"TUN",2006
"77",26.8,"EST",2006
"78",32.5,"KOR",2006
"79",0,"BGR",2006
"80",38.3,"NPL",2006
"81",0,"CAN",2006
"82",29.9,"GEO",2006
"83",35.6,"CYP",2006
"84",30.5,"UKR",2006
"85",27.5,"KHM",2006
"86",0,"MNE",2006
"87",0,"COG",2006
"88",0,"SRB",2006
"89",0,"GAB",2006
"90",31.6,"AZE",2006
"91",0,"ETH",2006
"92",35.2,"PRY",2006
"93",0,"TUR",2006
"94",0,"PAK",2006
"95",0,"IRQ",2006
"96",20.3,"CMR",2006
"97",22.6,"MOZ",2006
"98",31.2,"GHA",2006
"99",0,"JOR",2006
"100",47.3,"VEN",2006
"101",0,"MRT",2006
"102",0,"CIV",2006
"103",0,"EGY",2006
"104",28.3,"USA",2006
"105",35.9,"BOL",2006
"106",0,"MMR",2006
"107",0,"GIN",2006
"108",19.9,"UGA",2006
"109",26.9,"KEN",2006
"110",20,"NER",2006
"111",19.1,"SGP",2006
"112",36.2,"LAO",2006
"113",28.1,"MDG",2006
"114",23.8,"KAZ",2006
"115",20,"ZAF",2006
"116",0,"SAU",2006
"117",0,"IRN",2006
"118",19.1,"BEN",2006
"119",18.9,"BFA",2006
"120",22.9,"TZA",2006
"121",0,"LBR",2006
"122",28.5,"RWA",2006
"123",42.9,"IND",2006
"124",25.6,"RUS",2006
"125",26.1,"HTI",2006
"126",19.9,"MWI",2006
"127",0,"YEM",2006
"128",19.6,"ARE",2006
"129",17.1,"TGO",2006
"130",24.5,"HKG",2006
"131",0,"TKM",2006
"132",0,"COD",2006
"133",24.4,"TTO",2006
"134",0,"LUX",2006
"135",14.3,"SLE",2006
"136",20.3,"KWT",2006
"137",19.7,"MLI",2006
"138",0,"NAM",2006
"139",20.7,"NGA",2006
"140",0,"MNG",2006
"141",11.2,"ZWE",2006
"142",38.7,"LBN",2006
"143",22.5,"ZMB",2006
"144",0,"QAT",2006
"145",11.3,"TCD",2006
"146",0,"AFG",2006
"147",0,"LSO",2006
"148",16.8,"BWA",2006
"149",0,"CAF",2006
