,"1. Rankings for all countries, 2006 - 2021",,,,,,,,,,
"Dataset with option to select the year, and see the results for all countries for that year. Sort by HPI score, life expectancy, GDP per capita or any other variable in the data set. You can filter by continent. ",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
CHOOSE YEAR HERE: ,,2011,,,,,,,Good,,
USE THE FILTERS BELOW TO SORT BY HPI RANK OR COMPONENT,,,,,,,,,Average,,
,,,,,,,,,Poor,,
,,,,,,,,,,,
HPI rank,Country,ISO,,Continent,Population (thousands),Life Expectancy (years),Ladder of life (Wellbeing) (0-10),Carbon Footprint (tCO2e),HPI,CO2 threshold for year  (tCO2e),GDP per capita ($)
131.0,Burundi,BDI,2011BDI,5,9455.7,57.8,3.71,0.61,23.3,3.55,808
88.0,Sudan,SDN,2011SDN,5,34419.6,63.2,4.31,0.89,33.1,3.55,5047
139.0,Vanuatu,VUT,2011VUT,8,251.3,69.6,0.00,3.26,0.0,3.55,2994
12.0,Sweden,SWE,2011SWE,3,9467.4,81.8,7.38,10.96,50.6,3.55,48947
35.0,El Salvador,SLV,2011SLV,1,6137.3,71.9,4.74,2.30,42.1,3.55,7666
1.0,Costa Rica,CRI,2011CRI,1,4679.9,79.3,7.23,4.58,63.8,3.55,17186
20.0,Nicaragua,NIC,2011NIC,1,5942.6,72.4,5.39,2.61,47.2,3.55,4805
21.0,Denmark,DNK,2011DNK,3,5576.0,79.8,7.79,13.92,45.9,3.55,51293
17.0,Spain,ESP,2011ESP,3,46729.2,82.2,6.52,9.37,48.6,3.55,36883
2.0,Panama,PAN,2011PAN,1,3688.7,76.6,7.25,5.26,58.7,3.55,24316
16.0,France,FRA,2011FRA,3,62775.3,81.8,6.96,10.63,48.6,3.55,42862
7.0,Chile,CHL,2011CHL,1,17173.6,79.1,6.53,6.27,53.0,3.55,22324
38.0,Portugal,PRT,2011PRT,3,10564.8,80.5,5.22,7.73,41.5,3.55,31305
8.0,Moldova,MDA,2011MDA,7,3595.1,69.2,5.79,0.83,52.6,3.55,8929
28.0,Honduras,HND,2011HND,1,8622.5,71.4,4.96,2.06,44.1,3.55,4875
19.0,Netherlands,NLD,2011NLD,3,16701.5,81.1,7.56,12.68,47.8,3.55,52594
139.0,Norway,NOR,2011NOR,3,4953.6,81.2,0.00,13.63,0.0,3.55,61551
13.0,Guatemala,GTM,2011GTM,1,14833.5,71.2,5.74,2.08,50.4,3.55,7504
46.0,Finland,FIN,2011FIN,3,5388.2,80.4,7.35,16.56,40.2,3.55,46826
36.0,Italy,ITA,2011ITA,3,60026.0,82.2,6.06,11.42,41.9,3.55,42892
