"","HPI rank","Country","ISO","...4","Continent","Population (thousands)","Life Expectancy (years)","Ladder of life (Wellbeing) (0-10)","Carbon Footprint (tCO2e)","HPI","CO2 threshold for year  (tCO2e)","GDP per capita ($)"
"1",141,"Burundi","BDI","2016BDI",5,10903.3,60.8,0,0.64,0,3.34,764
"2",141,"Sudan","SDN","2016SDN",5,39377.2,64.8,0,0.89,0,3.34,4733
"3",7,"Vanuatu","VUT","2016VUT",8,283.2,69.7,6.71,2.99,53,3.34,2922
"4",4,"Sweden","SWE","2016SWE",3,9953.3,82.3,7.37,9.3,54,3.34,51334
"5",3,"El Salvador","SLV","2016SLV",1,6250.5,72,6.14,2.1,54,3.34,8450
"6",1,"Costa Rica","CRI","2016CRI",1,4945.2,79.5,7.14,4.17,63.8,3.34,19554
"7",10,"Nicaragua","NIC","2016NIC",1,6389.2,73.3,6.01,2.74,52.3,3.34,5734
"8",21,"Denmark","DNK","2016DNK",3,5706.9,80.9,7.56,11.81,48.6,3.34,54185
"9",14,"Spain","ESP","2016ESP",3,46473.3,83,6.32,7.83,50.7,3.34,38497
"10",16,"Panama","PAN","2016PAN",1,4026.3,77.7,6.12,5.4,50.2,3.34,30482
"11",19,"France","FRA","2016FRA",3,63989.3,82.4,6.48,8.83,49.1,3.34,43705
"12",6,"Chile","CHL","2016CHL",1,18083.9,80.1,6.58,6.47,53.2,3.34,24599
"13",35,"Portugal","PRT","2016PRT",3,10332.8,81.2,5.45,7.03,44.7,3.34,31848
"14",17,"Moldova","MDA","2016MDA",7,3225.1,69.9,5.58,1.15,49.9,3.34,10816
"15",13,"Honduras","HND","2016HND",1,9460.8,72.6,5.65,2.04,50.7,3.34,5287
"16",18,"Netherlands","NLD","2016NLD",3,17124.5,81.5,7.54,11.4,49.9,3.34,53848
"17",20,"Norway","NOR","2016NOR",3,5236.6,82.4,7.6,12.46,48.9,3.34,63548
"18",2,"Guatemala","GTM","2016GTM",1,16291,72.4,6.36,2.2,56,3.34,8206
"19",31,"Finland","FIN","2016FIN",3,5495.2,81.3,7.66,14.3,45.2,3.34,46207
"20",30,"Italy","ITA","2016ITA",3,60118.6,83,5.95,9.12,45.4,3.34,40838
"21",24,"United Kingdom","GBR","2016GBR",3,65655.2,81.1,6.82,10.42,47,3.34,45311
"22",28,"Romania","ROU","2016ROU",7,19797.8,75.2,5.97,5.54,46.4,3.34,24759
"23",23,"Philippines","PHL","2016PHL",8,104875.3,71.4,5.43,2,47.7,3.34,7616
"24",29,"Israel","ISR","2016ISR",4,8159,82.5,7.16,12.59,46.2,3.34,38571
"25",53,"Greece","GRC","2016GRC",3,10749.7,81.2,5.3,8.3,41.1,3.34,28240
"26",52,"Slovenia","SVN","2016SVN",7,2090,81.2,5.94,10.58,41.2,3.34,34853
"27",46,"Croatia","HRV","2016HRV",7,4223.8,78.2,5.42,6.63,42.7,3.34,25995
"28",11,"Thailand","THA","2016THA",8,70607,78,6.07,5.14,50.9,3.34,16393
"29",37,"Tajikistan","TJK","2016TJK",7,8725.3,69.5,5.1,1.59,44.1,3.34,3091
"30",34,"Ireland","IRL","2016IRL",3,4715.8,81.6,7.04,12.58,44.8,3.34,72310
"31",22,"Algeria","DZA","2016DZA",4,40339.3,75.7,5.34,3.14,48.2,3.34,11888
"32",44,"Dominican Republic","DOM","2016DOM",1,10527.6,73,5.24,3.87,42.8,3.34,15967
"33",12,"Peru","PER","2016PER",1,31132.8,75.8,5.7,3.3,50.8,3.34,12321
"34",33,"Czech Republic","CZE","2016CZE",7,10527.6,79,6.74,10.33,44.9,3.34,36672
"35",39,"Albania","ALB","2016ALB",7,2881.1,78.9,4.51,3.25,43.9,3.34,12292
"36",15,"Brazil","BRA","2016BRA",1,206859.6,74.4,6.37,4.85,50.4,3.34,14402
"37",40,"Germany","DEU","2016DEU",3,82331.4,80.8,6.87,12.46,43.5,3.34,51880
"38",38,"Vietnam","VNM","2016VNM",8,93126.5,73.9,5.06,3.17,44.1,3.34,8546
"39",36,"Austria","AUT","2016AUT",3,8736.5,81.6,7.05,12.96,44.2,3.34,53346
"40",27,"Morocco","MAR","2016MAR",4,35107.3,73.3,5.39,2.97,46.6,3.34,7632
"41",8,"Ecuador","ECU","2016ECU",1,16439.6,76.8,6.12,4.11,52.8,3.34,11588
"42",141,"Jamaica","JAM","2016JAM",1,2802.7,72,0,3.95,0,3.34,9906
"43",25,"Argentina","ARG","2016ARG",1,43668.2,76.3,6.43,7.16,46.9,3.34,23190
"44",43,"New Zealand","NZL","2016NZL",2,4668.1,82.1,7.23,14.63,43,3.34,41628
"45",9,"Mexico","MEX","2016MEX",1,121519.2,74.4,6.82,5.32,52.4,3.34,19831
"46",60,"Uzbekistan","UZB","2016UZB",7,31453.6,70.8,5.89,6.23,40.2,3.34,6664
"47",68,"Armenia","ARM","2016ARM",7,2865.8,74.7,4.33,3.22,38.6,3.34,11580
"48",65,"Hungary","HUN","2016HUN",7,9815.1,76.2,5.45,7.62,39.3,3.34,28213
"49",5,"Colombia","COL","2016COL",1,47626,76.5,6.23,4.02,53.7,3.34,14358
"50",48,"Switzerland","CHE","2016CHE",3,8372.9,83.4,7.46,16.8,42.1,3.34,67907
"51",59,"Japan","JPN","2016JPN",8,126993.9,84.1,5.95,12.56,40.3,3.34,40728
"52",141,"Bhutan","BTN","2016BTN",6,749.8,70.6,0,3.36,0,3.34,10588
"53",64,"China","CHN","2016CHN",8,1401889.7,77.2,5.32,7.6,39.4,3.34,13399
"54",49,"North Macedonia","MKD","2016MKD",7,2110.2,76,5.35,5.89,41.9,3.34,15553
"55",73,"Kyrgyzstan","KGZ","2016KGZ",7,6018.3,70.3,4.86,3.65,37.8,3.34,4912
"56",51,"Taiwan","TWN","2016TWN",8,23594.5,79.8,6.51,11.72,41.8,3.34,0
"57",78,"Lithuania","LTU","2016LTU",7,2933.7,74.9,5.87,9.94,37,3.34,31926
"58",67,"Slovakia","SVK","2016SVK",7,5431.2,77.2,5.99,10.4,38.9,3.34,29328
"59",41,"Sri Lanka","LKA","2016LKA",6,21425.5,75.3,4.47,2.08,43.3,3.34,12771
"60",69,"Iceland","ISL","2016ISL",3,335.7,82,7.51,19.13,38.5,3.34,54666
"61",50,"Poland","POL","2016POL",7,38532.1,77.8,6.16,9.54,41.8,3.34,28497
