"","HPI","ISO","year"
"1",0,"BDI",2020
"2",0,"SDN",2020
"3",57.2,"VUT",2020
"4",55.1,"SWE",2020
"5",47.4,"SLV",2020
"6",56.9,"CRI",2020
"7",53.2,"NIC",2020
"8",52.7,"DNK",2020
"9",53.2,"ESP",2020
"10",51.7,"PAN",2020
"11",52.7,"FRA",2020
"12",50.4,"CHL",2020
"13",48.2,"PRT",2020
"14",51.6,"MDA",2020
"15",51.9,"HND",2020
"16",52.5,"NLD",2020
"17",51.5,"NOR",2020
"18",53.9,"GTM",2020
"19",50.7,"FIN",2020
"20",50.1,"ITA",2020
"21",49.4,"GBR",2020
"22",52.9,"ROU",2020
"23",45.1,"PHL",2020
"24",46.9,"ISR",2020
"25",46.8,"GRC",2020
"26",46.2,"SVN",2020
"27",50.8,"HRV",2020
"28",50.8,"THA",2020
"29",44.7,"TJK",2020
"30",49.9,"IRL",2020
"31",47.5,"DZA",2020
"32",41.7,"DOM",2020
"33",43.2,"PER",2020
"34",47.8,"CZE",2020
"35",48.4,"ALB",2020
"36",48.9,"BRA",2020
"37",50.1,"DEU",2020
"38",47.3,"VNM",2020
"39",46.9,"AUT",2020
"40",41.5,"MAR",2020
"41",42.9,"ECU",2020
"42",43.6,"JAM",2020
"43",44.9,"ARG",2020
"44",44.8,"NZL",2020
"45",43.6,"MEX",2020
"46",40.6,"UZB",2020
"47",44.4,"ARM",2020
"48",43.2,"HUN",2020
"49",48.2,"COL",2020
"50",43.9,"CHE",2020
"51",43.4,"JPN",2020
"52",42.2,"BTN",2020
"53",41.9,"CHN",2020
"54",39.8,"MKD",2020
"55",46.4,"KGZ",2020
"56",44.9,"TWN",2020
"57",39.9,"LTU",2020
"58",44,"SVK",2020
"59",46.6,"LKA",2020
"60",41.1,"ISL",2020
"61",42.5,"POL",2020
"62",37.3,"IDN",2020
"63",41.7,"MUS",2020
"64",41.7,"URY",2020
"65",37.6,"BHR",2020
"66",39.8,"BIH",2020
"67",39.6,"SEN",2020
"68",39.9,"AUS",2020
"69",38,"MLT",2020
"70",49.2,"BGD",2020
"71",40.1,"MYS",2020
"72",40.6,"LVA",2020
"73",41.8,"LBY",2020
"74",38.6,"BEL",2020
"75",39.8,"BLR",2020
"76",42,"TUN",2020
"77",39.6,"EST",2020
"78",37.1,"KOR",2020
"79",41,"BGR",2020
"80",49.5,"NPL",2020
"81",38,"CAN",2020
"82",40,"GEO",2020
"83",37.2,"CYP",2020
"84",37.4,"UKR",2020
"85",36,"KHM",2020
"86",37.7,"MNE",2020
"87",36.7,"COG",2020
"88",35.5,"SRB",2020
"89",33.7,"GAB",2020
"90",32.7,"AZE",2020
"91",38.3,"ETH",2020
"92",36.5,"PRY",2020
"93",37.6,"TUR",2020
"94",35.2,"PAK",2020
"95",31,"IRQ",2020
"96",36,"CMR",2020
"97",34.7,"MOZ",2020
"98",40.8,"GHA",2020
"99",35.1,"JOR",2020
"100",31.6,"VEN",2020
"101",32.1,"MRT",2020
"102",34.4,"CIV",2020
"103",36.5,"EGY",2020
"104",33.2,"USA",2020
"105",33.3,"BOL",2020
"106",33.5,"MMR",2020
"107",31.6,"GIN",2020
"108",34.2,"UGA",2020
"109",32.7,"KEN",2020
"110",33.1,"NER",2020
"111",30.2,"SGP",2020
"112",33.5,"LAO",2020
"113",32.2,"MDG",2020
"114",29.6,"KAZ",2020
"115",28.3,"ZAF",2020
"116",29.6,"SAU",2020
"117",30.7,"IRN",2020
"118",28.7,"BEN",2020
"119",29.4,"BFA",2020
"120",29.9,"TZA",2020
"121",33.3,"LBR",2020
"122",28.8,"RWA",2020
"123",36,"IND",2020
"124",30.1,"RUS",2020
"125",28.4,"HTI",2020
"126",29.2,"MWI",2020
"127",29.6,"YEM",2020
"128",25.5,"ARE",2020
"129",26.5,"TGO",2020
"130",26.7,"HKG",2020
"131",25.9,"TKM",2020
"132",25.5,"COD",2020
"133",25.5,"TTO",2020
"134",25.4,"LUX",2020
"135",23.5,"SLE",2020
"136",22.9,"KWT",2020
"137",23.3,"MLI",2020
"138",24.4,"NAM",2020
"139",28.4,"NGA",2020
"140",22.5,"MNG",2020
"141",21.5,"ZWE",2020
"142",24.9,"LBN",2020
"143",32.8,"ZMB",2020
"144",19.3,"QAT",2020
"145",18.6,"TCD",2020
"146",16.5,"AFG",2020
"147",16.5,"LSO",2020
"148",17.6,"BWA",2020
"149",14.3,"CAF",2020
"150",0,"BDI",2021
"151",0,"SDN",2021
"152",57.9,"VUT",2021
"153",55.9,"SWE",2021
"154",54.7,"SLV",2021
"155",54.1,"CRI",2021
"156",53.6,"NIC",2021
"157",53,"DNK",2021
"158",53,"ESP",2021
"159",52,"PAN",2021
"160",52,"FRA",2021
"161",51.3,"CHL",2021
