HPI,ISO,year
0,BDI,2021
0,SDN,2021
57.9,VUT,2021
55.9,SWE,2021
54.7,SLV,2021
54.1,CRI,2021
53.6,NIC,2021
53,DNK,2021
53,ESP,2021
52,PAN,2021
52,FRA,2021
51.3,CHL,2021
51,PRT,2021
50.9,MDA,2021
50.8,HND,2021
50.7,NLD,2021
50.5,NOR,2021
50.4,GTM,2021
49.8,FIN,2021
49.6,ITA,2021
49.5,GBR,2021
49.4,ROU,2021
49,PHL,2021
48.6,ISR,2021
48.3,GRC,2021
48.1,SVN,2021
48,HRV,2021
48,THA,2021
47.8,TJK,2021
47.7,IRL,2021
47.4,DZA,2021
47.3,DOM,2021
47,PER,2021
46.8,CZE,2021
46.3,ALB,2021
46.2,BRA,2021
45.7,DEU,2021
45.5,VNM,2021
45.3,AUT,2021
45.3,MAR,2021
44.7,ECU,2021
44.5,JAM,2021
43.8,ARG,2021
43.4,NZL,2021
43.3,MEX,2021
43,UZB,2021
43,ARM,2021
42.9,HUN,2021
42.9,COL,2021
42.9,CHE,2021
42.7,JPN,2021
42.3,BTN,2021
41.9,CHN,2021
41.7,MKD,2021
41.4,KGZ,2021
41.2,TWN,2021
41,LTU,2021
41,SVK,2021
40.4,LKA,2021
40.3,ISL,2021
40.3,POL,2021
40.1,IDN,2021
40,MUS,2021
39.9,URY,2021
39.9,BHR,2021
39.8,BIH,2021
39.7,SEN,2021
39.5,AUS,2021
39.3,MLT,2021
39.2,BGD,2021
39.1,MYS,2021
39.1,LVA,2021
39,LBY,2021
38.9,BEL,2021
38.7,BLR,2021
38.6,TUN,2021
38.3,EST,2021
38,KOR,2021
37.5,BGR,2021
37.4,NPL,2021
37.2,CAN,2021
37.2,GEO,2021
36.4,CYP,2021
36.4,UKR,2021
36.3,KHM,2021
35.5,MNE,2021
35.2,COG,2021
35,SRB,2021
34.4,GAB,2021
34.4,AZE,2021
34,ETH,2021
33.9,PRY,2021
33.8,TUR,2021
33.7,PAK,2021
33.4,IRQ,2021
33.4,CMR,2021
33.2,MOZ,2021
32.9,GHA,2021
32.8,JOR,2021
32.7,VEN,2021
32.4,MRT,2021
32.3,CIV,2021
32.2,EGY,2021
32.1,USA,2021
32.1,BOL,2021
31.6,MMR,2021
30.9,GIN,2021
30.7,UGA,2021
30.7,KEN,2021
30.6,NER,2021
30.5,SGP,2021
30.2,LAO,2021
29.8,MDG,2021
29.4,KAZ,2021
29.3,ZAF,2021
29.3,SAU,2021
29,IRN,2021
28.9,BEN,2021
28.8,BFA,2021
28.8,TZA,2021
28.6,LBR,2021
28.1,RWA,2021
27.8,IND,2021
27.8,RUS,2021
27.5,HTI,2021
27,MWI,2021
26.6,YEM,2021
26.4,ARE,2021
26.3,TGO,2021
26.3,HKG,2021
25.6,TKM,2021
24.9,COD,2021
24.9,TTO,2021
24.6,LUX,2021
24.6,SLE,2021
23.2,KWT,2021
22.2,MLI,2021
21.8,NAM,2021
21.6,NGA,2021
20.4,MNG,2021
19.7,ZWE,2021
19.2,LBN,2021
19.1,ZMB,2021
18.8,QAT,2021
18.3,TCD,2021
16.2,AFG,2021
15.6,LSO,2021
14.7,BWA,2021
13.7,CAF,2021
0,BDI,2020
0,SDN,2020
57.2,VUT,2020
55.1,SWE,2020
47.4,SLV,2020
56.9,CRI,2020
53.2,NIC,2020
52.7,DNK,2020
53.2,ESP,2020
51.7,PAN,2020
52.7,FRA,2020
50.4,CHL,2020
48.2,PRT,2020
51.6,MDA,2020
51.9,HND,2020
52.5,NLD,2020
51.5,NOR,2020
53.9,GTM,2020
50.7,FIN,2020
50.1,ITA,2020
49.4,GBR,2020
52.9,ROU,2020
45.1,PHL,2020
46.9,ISR,2020
46.8,GRC,2020
46.2,SVN,2020
50.8,HRV,2020
50.8,THA,2020
44.7,TJK,2020
49.9,IRL,2020
47.5,DZA,2020
41.7,DOM,2020
43.2,PER,2020
47.8,CZE,2020
48.4,ALB,2020
48.9,BRA,2020
50.1,DEU,2020
47.3,VNM,2020
46.9,AUT,2020
41.5,MAR,2020
42.9,ECU,2020
43.6,JAM,2020
44.9,ARG,2020
44.8,NZL,2020
43.6,MEX,2020
40.6,UZB,2020
44.4,ARM,2020
43.2,HUN,2020
48.2,COL,2020
43.9,CHE,2020
43.4,JPN,2020
42.2,BTN,2020
41.9,CHN,2020
39.8,MKD,2020
46.4,KGZ,2020
44.9,TWN,2020
39.9,LTU,2020
44,SVK,2020
46.6,LKA,2020
41.1,ISL,2020
42.5,POL,2020
37.3,IDN,2020
41.7,MUS,2020
41.7,URY,2020
37.6,BHR,2020
39.8,BIH,2020
39.6,SEN,2020
39.9,AUS,2020
38,MLT,2020
49.2,BGD,2020
40.1,MYS,2020
40.6,LVA,2020
41.8,LBY,2020
38.6,BEL,2020
39.8,BLR,2020
42,TUN,2020
39.6,EST,2020
37.1,KOR,2020
41,BGR,2020
49.5,NPL,2020
38,CAN,2020
40,GEO,2020
37.2,CYP,2020
37.4,UKR,2020
36,KHM,2020
37.7,MNE,2020
36.7,COG,2020
35.5,SRB,2020
33.7,GAB,2020
32.7,AZE,2020
38.3,ETH,2020
36.5,PRY,2020
37.6,TUR,2020
35.2,PAK,2020
31,IRQ,2020
36,CMR,2020
34.7,MOZ,2020
40.8,GHA,2020
35.1,JOR,2020
31.6,VEN,2020
32.1,MRT,2020
34.4,CIV,2020
36.5,EGY,2020
33.2,USA,2020
33.3,BOL,2020
33.5,MMR,2020
31.6,GIN,2020
34.2,UGA,2020
32.7,KEN,2020
33.1,NER,2020
30.2,SGP,2020
33.5,LAO,2020
32.2,MDG,2020
29.6,KAZ,2020
28.3,ZAF,2020
29.6,SAU,2020
30.7,IRN,2020
28.7,BEN,2020
29.4,BFA,2020
29.9,TZA,2020
33.3,LBR,2020
28.8,RWA,2020
36,IND,2020
30.1,RUS,2020
28.4,HTI,2020
29.2,MWI,2020
29.6,YEM,2020
25.5,ARE,2020
26.5,TGO,2020
26.7,HKG,2020
25.9,TKM,2020
25.5,COD,2020
25.5,TTO,2020
25.4,LUX,2020
23.5,SLE,2020
22.9,KWT,2020
23.3,MLI,2020
24.4,NAM,2020
28.4,NGA,2020
22.5,MNG,2020
21.5,ZWE,2020
24.9,LBN,2020
32.8,ZMB,2020
19.3,QAT,2020
18.6,TCD,2020
16.5,AFG,2020
16.5,LSO,2020
17.6,BWA,2020
14.3,CAF,2020
0,BDI,2019
0,SDN,2019
55.3,VUT,2019
54,SWE,2019
57.2,SLV,2019
61.7,CRI,2019
53.9,NIC,2019
51.4,DNK,2019
52.2,ESP,2019
49.7,PAN,2019
50.8,FRA,2019
48.9,CHL,2019
49.7,PRT,2019
52.1,MDA,2019
52.6,HND,2019
50.1,NLD,2019
49.8,NOR,2019
54.6,GTM,2019
47.7,FIN,2019
48.9,ITA,2019
50.3,GBR,2019
48,ROU,2019
54.3,PHL,2019
47.3,ISR,2019
46.8,GRC,2019
46.6,SVN,2019
43.8,HRV,2019
50.6,THA,2019
48.4,TJK,2019
48.7,IRL,2019
43.5,DZA,2019
