"","HPI","ISO","year"
"1",23.3,"BDI",2011
"2",33.1,"SDN",2011
"3",0,"VUT",2011
"4",50.6,"SWE",2011
"5",42.1,"SLV",2011
"6",63.8,"CRI",2011
"7",47.2,"NIC",2011
"8",45.9,"DNK",2011
"9",48.6,"ESP",2011
"10",58.7,"PAN",2011
"11",48.6,"FRA",2011
"12",53,"CHL",2011
"13",41.5,"PRT",2011
"14",52.6,"MDA",2011
"15",44.1,"HND",2011
"16",47.8,"NLD",2011
"17",0,"NOR",2011
"18",50.4,"GTM",2011
"19",40.2,"FIN",2011
"20",41.9,"ITA",2011
"21",44,"GBR",2011
"22",37.8,"ROU",2011
"23",44.6,"PHL",2011
"24",44.8,"ISR",2011
"25",37.7,"GRC",2011
"26",37.6,"SVN",2011
"27",39.4,"HRV",2011
"28",54.5,"THA",2011
"29",36.5,"TJK",2011
"30",42.8,"IRL",2011
"31",48,"DZA",2011
"32",43.5,"DOM",2011
"33",51.5,"PER",2011
"34",41,"CZE",2011
"35",54.8,"ALB",2011
"36",54.3,"BRA",2011
"37",40.1,"DEU",2011
"38",50.9,"VNM",2011
"39",44.1,"AUT",2011
"40",42.6,"MAR",2011
"41",49.2,"ECU",2011
"42",42.3,"JAM",2011
"43",50,"ARG",2011
"44",41.4,"NZL",2011
"45",52.4,"MEX",2011
"46",38.5,"UZB",2011
"47",37.3,"ARM",2011
"48",34.5,"HUN",2011
"49",56.9,"COL",2011
"50",0,"CHE",2011
"51",39.9,"JPN",2011
"52",0,"BTN",2011
"53",37.6,"CHN",2011
"54",37.3,"MKD",2011
"55",37.3,"KGZ",2011
"56",39.7,"TWN",2011
"57",34,"LTU",2011
"58",36.8,"SVK",2011
"59",40,"LKA",2011
"60",0,"ISL",2011
"61",36.9,"POL",2011
"62",41.1,"IDN",2011
"63",40.6,"MUS",2011
"64",41,"URY",2011
"65",27.5,"BHR",2011
"66",38,"BIH",2011
"67",29.5,"SEN",2011
"68",34.4,"AUS",2011
"69",36.9,"MLT",2011
"70",44.9,"BGD",2011
"71",39,"MYS",2011
"72",33.6,"LVA",2011
"73",0,"LBY",2011
"74",34.4,"BEL",2011
"75",38.5,"BLR",2011
"76",44.3,"TUN",2011
"77",29.7,"EST",2011
"78",41,"KOR",2011
"79",28.1,"BGR",2011
"80",32.2,"NPL",2011
"81",36.9,"CAN",2011
"82",34.4,"GEO",2011
"83",39.3,"CYP",2011
"84",33.5,"UKR",2011
"85",34.1,"KHM",2011
"86",32.7,"MNE",2011
"87",31.4,"COG",2011
"88",29.2,"SRB",2011
"89",24.4,"GAB",2011
"90",33.1,"AZE",2011
"91",0,"ETH",2011
"92",39.6,"PRY",2011
"93",39.3,"TUR",2011
"94",40.1,"PAK",2011
"95",30.6,"IRQ",2011
"96",26.4,"CMR",2011
"97",27.7,"MOZ",2011
"98",40.5,"GHA",2011
"99",45.3,"JOR",2011
"100",44.9,"VEN",2011
"101",34.8,"MRT",2011
"102",0,"CIV",2011
"103",33.3,"EGY",2011
"104",30.9,"USA",2011
"105",39.1,"BOL",2011
"106",0,"MMR",2011
"107",23.6,"GIN",2011
"108",30.7,"UGA",2011
"109",30.5,"KEN",2011
"110",30,"NER",2011
"111",27.4,"SGP",2011
"112",35.3,"LAO",2011
"113",33.1,"MDG",2011
"114",29.3,"KAZ",2011
"115",24,"ZAF",2011
"116",29.9,"SAU",2011
"117",30.7,"IRN",2011
"118",23.4,"BEN",2011
"119",28.5,"BFA",2011
"120",27.5,"TZA",2011
"121",0,"LBR",2011
"122",31.8,"RWA",2011
"123",38,"IND",2011
"124",28.1,"RUS",2011
"125",34.9,"HTI",2011
"126",24.6,"MWI",2011
"127",31.5,"YEM",2011
"128",26.9,"ARE",2011
"129",16.3,"TGO",2011
"130",26.7,"HKG",2011
"131",27.4,"TKM",2011
"132",28.4,"COD",2011
"133",27,"TTO",2011
"134",21.7,"LUX",2011
"135",25.3,"SLE",2011
"136",24.8,"KWT",2011
"137",24.6,"MLI",2011
"138",0,"NAM",2011
"139",24.6,"NGA",2011
"140",25.8,"MNG",2011
"141",26.3,"ZWE",2011
"142",41.7,"LBN",2011
"143",29.8,"ZMB",2011
"144",20.3,"QAT",2011
"145",18.4,"TCD",2011
"146",27,"AFG",2011
"147",16.7,"LSO",2011
"148",12.5,"BWA",2011
"149",14,"CAF",2011
